Word,Meaning,Example 1,Example 2,Example 3,Memory Hook,Base Form,Subject,Chapter,Related Forms
Ascended,Came to power; became king or emperor.,Aurangzeb ascended the Mughal throne in 1658.,Bahadur Shah I ascended the throne after Aurangzeb's death.,Several princes fought to ascend the throne.,Rise to power,Ascend (Verb),Modern History,Decline of Mughals,"Ascended, Ascending, Ascension, Ascendant"
Willed,"Decided, wished, or ordered something.",The emperor willed that his son should succeed him.,The ruler willed the distribution of his property.,The nobles followed what the emperor had willed.,Official wish,Will (Verb),Modern History,Decline of Mughals,"Wills, Willed, Willing"
Aristocracy,Rich and powerful noble class.,The Mughal aristocracy enjoyed great privileges.,Rivalries within the aristocracy weakened the empire.,The aristocracy controlled important government posts.,Noble class,Aristocracy (Noun),Modern History,Decline of Mughals,"Aristocrat, Aristocratic"
Pacified,Brought under control; calmed down.,Akbar pacified many rebellious regions.,The army was sent to pacify the revolt.,The emperor pacified the dissatisfied nobles.,Bring peace,Pacify (Verb),Modern History,Decline of Mughals,"Pacify, Pacification, Pacifying"
Fickle,Frequently changing loyalty or opinions.,The fickle nobles often changed sides.,The ruler could not trust the fickle support of some chiefs.,Fickle alliances weakened the kingdom.,Changes quickly,Fickle (Adjective),Modern History,Decline of Mughals,Fickleness
Nevertheless,Despite that; however.,"The empire was weakening; nevertheless, it remained large.","The ruler faced opposition; nevertheless, he continued his reforms.","Nevertheless, the Mughal administration survived for many years.",Even so,Nevertheless (Adverb),Modern History,Decline of Mughals,Nonetheless
Cavalry,Soldiers who fight on horseback.,The Mughal cavalry was highly effective.,Maratha cavalry moved swiftly across territories.,The cavalry attacked before the infantry advanced.,Horse soldiers,Cavalry (Noun),Modern History,Decline of Mughals,"Cavalryman, Cavalries"
Intrigues,Secret plots or conspiracies.,Court intrigues became common after Aurangzeb's death.,Many princes fell victim to palace intrigues.,Political intrigues weakened the administration.,Secret plotting,Intrigue (Noun/Verb),Modern History,Decline of Mughals,"Intrigued, Intriguing"
Factionalism,Division into rival groups.,Factionalism among nobles weakened the empire.,Court politics was dominated by factionalism.,Factionalism often led to civil conflicts.,Group rivalry,Faction (Noun),Modern History,Decline of Mughals,"Faction, Factional"
Aided,Helped or supported.,The French aided several Indian rulers.,Local chiefs aided the rebels.,Foreign powers aided regional kingdoms.,Helped,Aid (Verb),Modern History,Decline of Mughals,"Aid, Aiding, Aids"
Curb,To control or limit.,The emperor tried to curb corruption.,Strong rulers curbed the power of nobles.,New laws were introduced to curb unrest.,Control,Curb (Verb),Modern History,Decline of Mughals,"Curbed, Curbing"
Deterrence,Something that prevents an action.,Strong forts acted as a deterrence against invasion.,A large army served as a deterrence to rebellion.,Military strength provided deterrence against enemies.,Prevent by fear,Deter (Verb),Modern History,Decline of Mughals,"Deter, Deterred, Deterring"
Infantry,Soldiers who fight on foot.,The infantry was equipped with muskets.,European armies relied heavily on infantry.,The infantry followed the cavalry into battle.,Foot soldiers,Infantry (Noun),Modern History,Decline of Mughals,Infantryman
Mercenaries,Soldiers hired for money.,Many rulers employed mercenaries during wars.,European mercenaries fought in Indian armies.,Mercenaries often served the highest bidder.,Paid soldiers,Mercenary (Noun),Modern History,Decline of Mughals,Mercenary
Defied,Refused to obey.,Shivaji defied Mughal authority.,Several governors defied imperial orders.,The rebels openly defied the emperor.,Disobey,Defy (Verb),Modern History,Decline of Mughals,"Defy, Defiant, Defiance"
Seceded,Broke away from a kingdom or empire.,Some provinces effectively seceded from Mughal control.,Regional states seceded as central authority weakened.,Bengal nearly seceded from the empire.,Break away,Secede (Verb),Modern History,Decline of Mughals,"Secede, Secession"
Skirmishes,Small battles.,Border skirmishes were common.,The conflict began with small skirmishes.,Several skirmishes occurred before the main battle.,Small fight,Skirmish (Noun),Modern History,Decline of Mughals,Skirmishing
Imprudent,Unwise; lacking good judgment.,The ruler's imprudent decisions weakened the treasury.,Historians criticize some imprudent military campaigns.,An imprudent policy led to public dissatisfaction.,Unwise,Imprudent (Adjective),Modern History,Decline of Mughals,"Imprudence, Prudence"
Conferred,Granted or awarded.,The emperor conferred titles on loyal nobles.,Jagirs were conferred as rewards.,Special honors were conferred upon military leaders.,Officially give,Confer (Verb),Modern History,Decline of Mughals,"Confer, Conference"
Epithet,A title or nickname.,"Akbar earned the epithet ""Akbar the Great.""",Many rulers were known by honorific epithets.,The epithet reflected the ruler's achievements.,Title,Epithet (Noun),Modern History,Decline of Mughals,Epithets
Baton,Symbol of authority or leadership.,The commander carried a baton as a sign of authority.,The ceremonial baton represented military leadership.,The baton was handed to the new commander.,Symbol of command,Baton (Noun),Modern History,Decline of Mughals,Batons
Petty,Trivial; small-minded.,Petty disputes weakened the nobility.,Leaders wasted time on petty rivalries.,Petty quarrels distracted the administration.,Small and unimportant,Petty (Adjective),Modern History,Decline of Mughals,Pettiness
Bigot,A person intolerant of others' beliefs.,"Some historians describe Aurangzeb as a bigot, while others disagree.",A bigot refuses to respect different faiths.,Religious bigots often create social divisions.,Intolerant person,Bigot (Noun),Modern History,Decline of Mughals,Bigotry
Ousting,Removing from power.,The ousting of weak rulers created instability.,Nobles played a role in the ousting of emperors.,The ousting of the governor led to unrest.,Remove from power,Oust (Verb),Modern History,Decline of Mughals,"Oust, Ousted"
Bickered,Argued over small matters.,The nobles bickered over power.,Rival factions bickered continuously.,Leaders bickered while the empire declined.,Petty arguments,Bicker (Verb),Modern History,Decline of Mughals,Bickering
Confederacy,A group united for a common purpose.,The Maratha Confederacy became a major power.,Several chiefs formed a confederacy against a common enemy.,The confederacy expanded its influence rapidly.,Alliance,Confederacy (Noun),Modern History,Decline of Mughals,"Confederate, Confederation"
Lax,Not strict; careless.,A lax administration encouraged corruption.,Revenue collection became lax in distant provinces.,Lax enforcement of laws weakened authority.,Not strict,Lax (Adjective),Modern History,Decline of Mughals,Laxity
Envoys,Official representatives or messengers.,Kings exchanged envoys before signing treaties.,The emperor sent envoys to negotiate peace.,Foreign envoys visited the Mughal court.,Official messenger,Envoy (Noun),Modern History,Decline of Mughals,Envoys
Meted Out,Given or imposed (usually punishment or reward).,Severe punishments were meted out to rebels.,Justice was meted out by local officials.,Rewards were meted out to loyal soldiers.,Officially give,Mete Out (Phrasal Verb),Modern History,Decline of Mughals,"Mete, Meting"
